,mid,uid,repost_count,like_count,comment_count,verification,text,textlength,moral_score,moral_wc,immoral_wc,other_wc,positive_prob,surprise,comments_count,average_commenter_follow,average_commenter_follower,average_moral_word,average_immoral_word,commenter_gender_ratio,average_positive_possibility,positive_negative_ratio,average_text_lenth,average_moral_score,average_moral_emo,average_nonmoral_emo,moral_emo,nonmoral_emo,keyword_code
1,4967028257195289,7229616073,6,38,1,0,"Why should a wild dog bite a human and kill all the wild dogs? Because only humans can be responsible for their own actions. It is legal to use dogs to kill people if they can be held accountable for their actions. Is it okay to have a Tibetan mastiff waiting outside your house to bite you to death and then the dog comes to pay for it? No one is responsible for wild dogs, it is the government’s responsibility to eradicate them. Of course, who wants to say that if a wild dog bites someone in the future, I will pay for it, that’s fine.",54,-0.9940307781279564,1,3,53,73.9266,0,1,234.0,0.0,0,0,1.0,69.5028,2.0,6.0,-3.5461,1.0,0.0,0,5,4
3,4966536410564379,6597716151,0,0,1,0,"There are only a few stray dogs in the school, and it is not as troublesome as dealing with stray dogs at the national level. And as far as our school is concerned, I have never heard of a dog biting anyone. On the contrary, there have been a few cats biting and scratching people. But the cat didn&#39;t care. Handling it this way only makes people feel that the person responsible for handling this matter is really out of his mind. . . First of all, it will arouse students&#39; resentment. Later student work will be more difficult to carry out because some students will be resistant. Second, it is impersonal. Do you think it will die immediately if you throw it like this? ? ? And still in the cafeteria? ? It&#39;s me. I yawned on the spot. I sat so close that I couldn&#39;t help but realize that the bowl was filled with germs from dogs. . . . Third, since you choose to do this in such a public place, are you still worried about students taking videos? Wouldn&#39;t it be okay to do it secretly from the beginning? ? ? I think it’s okay for schools to catch dogs out of concern for students’ personal safety, but if you dare to do it, if you choose to do it in public, you have to bear the possible controversy that will follow.",120,-0.1325875090346332,3,0,121,99.5882,0,1,594.0,25.0,0,0,0.0,99.9876,2.0,26.0,-0.3916,1.0,2.0,3,2,4
8,4965450094216729,6865526227,19,536,38,0,"A good boss makes a fortune. But if these stray dogs bite someone, the boss may be held responsible. It is better to give it to dog lovers for adoption. Yang Di, Li Xiaoran, Xue Zhiqian, etc. will all like to adopt it.",31,1.7086564212093998,2,0,31,99.9921,0,28,335.4642857142857,2.238407544332973e+61,13,5,0.6786,51.8087,1.1429,15.392857142857142,0.1034,0.3929,0.7857,0,3,4
11,4964085402965242,5124968670,1,17,29,0,"Another child who was bitten by a dog and sent to the ICU for rescue had an owner, but no leash. I saw many comment sections saying, &quot;Alaska is so docile, how could it bite people?&quot; with expressions of disbelief on their faces. Everything that is owned by someone is animalistic, let alone an unsupervised stray dog? So many big V stars are calling for donations to set up a stray pet fund to save dogs and scared people. Otherwise, if stray dogs often appear in a certain area, don’t morally kidnap parents who are worried about their children’s safety and clean them up. If you say you won&#39;t bite, who will be the guarantor? At least if something goes wrong, you can find someone to take responsibility instead of just beating him to death. L Saitama ONE1&#39;s Weibo video is closed d",97,-0.1201236826831544,5,3,89,99.9985,0,2,247.5,10000.0,2,7,0.5,57.1346,1.0,34.0,-1.3706,2.0,0.5,6,6,4
13,4963963871956795,1231253604,9,250,40,0,"Celebrities don&#39;t care about a boy bitten by a dog. They only call for the protection of stray dogs. Why should we rationalize the disposal of stray dogs? Because no one is responsible for them biting people. The stars won&#39;t pay a penny. If an owned dog bites someone, you can seek compensation from the owner. But what about a dog without an owner? Who to look for?",37,-1.7347234759768072e-19,5,0,32,81.7329,0,12,578.25,9.355023014261047e+25,5,4,0.8333,78.379,3.6667,17.166666666666668,-0.3859,0.6667,1.1667,0,2,4
20,4961738648192582,6343705644,4,14,11,0,"The wait is finally here! CCTV speaks out for stray cats and dogs, and the views of legal experts are even more surprising: one dog is wrong, and thousands of dogs and cats pay the bill. After the Rottweiler incident in Chongzhou, Chengdu, too many innocent stray animals have died on the streets. Some of them were injured by residents in the community, and some were killed by security guards for the safety of residents. In short, their deaths should not have been such an accident. As time passed, we finally waited for CCTV’s announcement! This time, CCTV also spoke for stray cats and dogs! Is it the human&#39;s fault or the dog&#39;s? Looking back at the original Rottweiler biting incident, you will find that if you want to prevent the incident from happening, you only need one key person, which is the dog&#39;s owner. If the offending dog is led by a leash when going out, it is supervised by its owner. , presumably it cannot hurt the child no matter what. Unfortunately, the dog was not leashed and the owner did not surrender until early in the morning, so it was too late. The first responsible party in this matter is the dog, but the specific responsible person behind this responsible party is the owner of the dog. It is precisely for this reason that after the incident happened, the girl’s family will hold the other party responsible, and the dog owner will also Forced to surrender. Why shouldn’t people pay for their faults? CCTV’s views have also been supported by many experts and scholars. A law professor at a university even bluntly said that protecting animals is actually protecting people. A law professor is obviously an expert in his professional field. Why does he have such surprising views? I think maybe it&#39;s because this professor understands the essence of the matter. Many times, people deal with cats and dogs vigorously and resolutely, not because they are speaking out for justice, but to satisfy their own inner desires. People use this behavior to vent their emotions, thinking that stray animals will not speak for themselves, and we do not need to pay a price or bear any responsibility for any of our actions. But if such atrocities continue unchecked, then when one day those who harm animals are no longer satisfied with harming animals, where will they turn their attention? I think it is precisely with this in mind that law professors come up with the idea that protecting animals means protecting people. A professor at Tsinghua University also pointed out that human behavior is the main cause of stray dogs. This point of view summarizes many facts, which are actually deliberately ignored by some people. Some people treat cats and dogs as pets. They buy them with money and throw them away when they don&#39;t like them. There are more and more stray animals in the city, but why don&#39;t we think about why there are so many stray animals in the city? What did these stray animals go through before they became stray animals? Some netizens mentioned the disposal of animals abroad. Every pet owner has a responsibility for his or her pet. If a pet is abandoned, the pet owner must bear the responsibility. This responsibility is specific and will make them Don’t dare abandon your pets easily. With punishment, there will be fewer and fewer abandoned animals, and the number of stray animals will not be able to grow so fast. In the final analysis, solving the root cause of stray animals is not about dealing with the animals, but to prevent such behavior from happening again. This is reasonable and controllable. This time, CCTV has spoken out, as have university professors, experts and scholars. I wonder if these wise and rational remarks can make people who are trapped in emotions completely wake up and seriously think about the nature of this issue? Hide d",284,0.0025228175952312,9,5,271,100.0,0,4,316.0,530157629.75,0,1,0.5,56.3581,1.0,18.25,-0.4344,1.25,1.25,19,31,4
21,4961477624858898,6982536972,24,134,51,0,"When a stray dog bites someone, who claims to love dogs dares to stand up and say: I will be responsible for L Nuanxi Jiang’s Weibo video",21,1.138469492171195,1,0,22,77.2665,0,25,573.44,1.2688440846918868e+55,16,15,0.8,69.2348,2.0,15.44,-2.2684,0.72,1.6,1,1,4
28,4960832927303359,1235564262,3,78,32,0,"Personally, I think there is absolutely no need to solicit donations unless it is absolutely necessary, and returning them is necessary. However, we support the girl’s family to claim compensation from the dog owner. The dog owner must fully compensate for the medical expenses and all subsequent treatment and recovery costs, and promise to compensate the girl at any time if she develops related health problems in the future. At the same time, vicious dogs that bite must be beaten to death. If euthanasia is not convenient, the same can be done by beating them to death with sticks and stones, or strangulating them with a rope. Even if time could be turned back, no matter what the girl or her parents did, there is no reason to punish her with a dog. The dog bit someone viciously, causing serious consequences. The dog and its owner must bear responsibility. Nowadays, it is not the problem of a dog biting a person that leads to the wholesale eradication of stray dogs. It is the result of ordinary people being bitten and killed by dogs for a long time. There are a large number of victims every year, and everyone is intolerable. This is not a dog, but a group of dogs. If you really want to have a frank discussion, there is no need to secretly change the concept. This is not a matter of one-size-fits-all lazy politics. On the premise that there is no better way to deal with stray dogs and manage dog breeding normally, the necessary one-size-fits-all approach is to be responsible for the safety of the people and the next victim. If you do nothing because you are afraid of being told that one size fits all, that is truly lazy politics. The key is that there has never been a one-size-fits-all approach, not now, nor in the past. Dogs raised normally are fine, and dogs running around without a leash are fine. There are many stray dogs encountered these days. In the final analysis, it is not one-size-fits-all, but one-size-fits-all. It&#39;s not cut, that&#39;s the big problem. If you want to know what true one-size-fits-all means, just look at the Bamboo Rat. Hide d",160,-0.3334441947631776,7,7,144,82.2968,0,24,1754.6666666666667,10000.0,9,5,0.5,60.1024,1.8889,8.791666666666666,1.0444,0.4583,0.75,9,19,4
30,4960808971013534,1883484972,0,8,1,0,"How to control stray dogs has become the most urgent social security issue in the safest country in the world. So, how to control the problem of stray dogs? This has to be said about Germany. The Germans&#39; regulations on raising dogs are really strict and are engraved in the hearts of Germans. Let China copy it, there is indeed something worth learning from capitalism. Here’s a summary of some of the rules for raising dogs in Germany: 1. Keeping a dog requires the consent of your neighbors. When raising a dog in Germany, you must first obtain the consent of your neighbors and ensure that it will not affect their lives. You can&#39;t let your dog urinate randomly, and you can&#39;t let your dog bark at home and disturb your neighbors&#39; rest. If you violate these regulations, you may be subject to fines or other penalties. 2. Dog owners and dogs must go to dog school. It costs 50 euros per hour to raise a dog in Germany. After your neighbor agrees, you have to take your puppy to dog school, from kindergarten to junior high school, and then the high school graduation exam. You and you Only when dogs get their diplomas can they enter society. 3. You have to pay tax for raising a dog. You have to pay it every year. Taking Berlin as an example, you need to pay 120 euros in tax every year to raise the first dog, and you have to pay another 180 euros to raise the second dog. If you keep a dog secretly without paying taxes, If found, a fine of 10,000 euros will be imposed. 4. Dog owners should buy insurance for their dogs. Dog owners should buy insurance for their dogs with a compensation of no less than 1 million euros. Under normal circumstances, German dog owners need to pay an annual insurance premium of 75 to 270 euros for their dogs, and dangerous dogs have to pay more than 30% more premiums. 5. Dog owners must spend enough time with their dogs. When raising a dog in Germany, dog owners need to spend a certain amount of time with their dogs. For example, owners should take their dogs with them when they go out, and they cannot leave their dogs at home alone for more than 3 hours. If you do not walk your dog for a long time, someone will complain to an animal protection organization. The charge is that you torture small animals. 6. Dog owners are fined 90,000 euros for abandoning dogs. German law stipulates that anyone who abandons a dog (including those who move and leaves the dog in the same place) must be fined 90,000 euros and may be imprisoned for 3 years. 7. A chip must be implanted and you must pay for it at your own expense. According to the European Union, all pets (cats, dogs, and minks) must have an ID number. There are two options: one is to tattoo the number on a conspicuous part of the pet&#39;s skin; the other is to implant it under the skin. Enter the microchip. 8. Adoption costs money. In Germany, adoption is not free. For example, in Berlin, the cost of adopting a dog is generally 205 euros. 9. Documents are required. The pet’s identity certificate and health certificate are essential! 10. Dogs are not allowed to enter some public places. Dogs are strictly prohibited from entering children&#39;s playgrounds, leisure lawns, swimming pools and other places marked &quot;Dogs are not allowed&quot;. Anyone who fails to supervise dogs in public places will be fined 10,000 euros. 11. Feeding stray dogs is deemed as having custody. If a stray dog bites someone, the person who feeds it will be responsible for compensation. 12. Stray dogs that are not adopted are killed. In Germany, stray dogs captured by the government are killed if no one pays to adopt them within ten days. Therefore, there are no stray dogs on the streets in Germany now...",282,-0.146187922126562,5,8,277,100.0,0,1,1492.0,10000.0,1,0,1.0,94.6851,2.0,18.0,-1.0172,1.0,0.0,8,25,4
38,4960352527713193,6109985982,2,128,42,0,"Regarding stray dogs, although they scolded me crazily, I will calmly say it for the last time. I have always respected civilized dog owners. I don’t like dogs myself. When I was a child, I was chased by a stray dog on the way to school, which has left a shadow on me for the rest of my life. , it is impossible to live with a dog in this life. But many of my relatives and friends have cats and dogs, and under their control I can live in peace with dogs. So although I can’t raise a dog myself, I can understand and respect it. But unmanaged dogs should be taken into custody. Dogs are always animals. It’s not surprising that they bite people. They bite people anyway. If they get out of human control, they are a huge hidden danger. Urban stray dogs are not abandoned by irresponsible people who like dogs for two days. You should not scold the people who take them in. You should scold the people who abandon them. They make the dogs homeless and out of control. Stray dogs controlled by people should be taken into custody. So I said, agree to this and let’s talk about the method. Those who come up and say &quot;dogs are higher than people&quot; and &quot;people are inferior to dogs&quot;, stay away from them. It is always people-oriented. The risk of dog bites should not be passed on to the public. This has a mass basis. The holders of this risk are only the silent majority. I still hope that the government can assume this responsibility, because if If the government transfers this power and responsibility and ignores risks but they still exist, then whoever bears the risks will take action. For example, the ham sausage incident is not only illegal, but also creates other risks. Another example is using weapons for self-defense. If everyone brings weapons when going out, social instability will suddenly increase. Therefore, the government will not leave stray dogs alone. Instead of worrying about stray dogs being caught, it is better to promote the standardized management of dog owners from the source, and introduce regulatory measures for abandoned dogs, those who are not on leashes, those who are not certified, those who are not vaccinated, those who bite people, and those who bite dogs. And punitive measures, like traffic regulations, a point deduction and fine system, compensation for those who deserve it, and penalties for those who deserve it. After the points are deducted, it is forbidden to apply for a dog license within a few years. If you keep a dog without a license, you will be fully responsible. If you bite someone because you have not been vaccinated against rabies, you will be responsible. If a person dies, he will be punished like a drunk driver. This is called standardizing dog raising. Rules without penalties are invalid. Those who cannot do it cannot raise dogs. Since stray dogs originate from dog owners, regulating dog ownership in this way can reduce stray dogs from the source. Let’s do something for stray dogs because they are pitiful. Hide d",228,-0.0816480143371633,3,10,214,100.0,1,15,589.2,10000.0,5,5,0.3333,58.7735,1.4286,14.666666666666666,-0.3363,0.4667,0.5333,9,25,4
