,text,textlength,moral_score,moral_wc,immoral_wc,other_wc,goodness,happiness,sadness,anger,afraid,disgust,surprise,positive_prob,sub_probs
0,"[Media Comment:] Hello, welcome to &quot;Feng Ping&quot;. The incident of a Rottweiler dog biting a two-year-old girl in Chengdu has sparked controversy and heated discussion that continues to rage. Nowadays, many communities have begun to search for puppies running around and arrest them when they see them. There are also many media carrying machines to do live broadcasts, which is very lively. In this way, dog lovers say, &quot;Dogs are mankind&#39;s loyal friends, and you cannot beat all dogs to death just because of one dog.&quot; Friends who are opposed to dog raising also say, &quot;Freedom has boundaries, and your hobbies cannot &quot;Become a burden to others&quot;, &quot;From now on, all aggressive dogs walking without leashes will be punished&quot;, &quot;If you don&#39;t lock up the dogs, lock up the people&quot;. That sounds very relieving. Which side of these two (teams) do you stand on? LMammoth News’ Weibo videoCollapse d",100,-0.34100337257023144,1,2,108,5,5,0,0,0,1,0,100.0,"[0.28095304183519476, 0.5643583506002614, 0.8556944342638337, 0.6458564863580093, 0.5427468122013699, 0.229103795312939, 0.23907744500836892, 0.17934755884335274, 0.8730158730158731, 0.5, 0.9897578888373236, 0.20370567503728731, 0.9847306457584047, 0.9581820535823792, 0.7031968276899202, 0.204593842509316, 0.32489700668917354, 0.7062434219070743, 0.7691372088747005, 0.9746463462889946]"
1,"Why should a wild dog bite a human and kill all the wild dogs? Because only humans can be responsible for their own actions. It is legal to use dogs to kill people if they can be held accountable for their actions. Is it okay to have a Tibetan mastiff waiting outside your house to bite you to death and then the dog comes to pay for it? No one is responsible for wild dogs, it is the government’s responsibility to eradicate them. Of course, who wants to say that if a wild dog bites someone in the future, I will pay for it, that’s fine.",54,-0.9940307781279563,1,3,53,4,1,0,0,0,0,0,73.9266,"[0.6309203751846971, 0.27636622049643944, 0.35710035574980314, 0.8582394868176476, 0.22347099144905525, 0.5262327818078083, 0.8321392722643367, 0.6296296296296295]"
2,"Why do I particularly hate uncivilized dog walking? Because it’s really annoying. Stray dogs don’t keep their leashes because they don’t have owners. So why don’t dogs with owners keep their leashes? They’re not stray dogs, but they’re just bastards. But whether it is a teddy or a dog larger than a teddy, it should be kept on a loose leash. It is not without an owner, right? It is not a stray dog, right? You can&#39;t always use &quot;it won&#39;t bite&quot; to morally kidnap anyone. After all, there are still many people who are afraid of dogs, and dogs are uncertain, and they may start biting people at some point. Not every owner can educate his dog well, because people are different. If that person hears grandma&#39;s &quot;reminder&quot; and takes the seat, and comes to find trouble with me, I&#39;m not afraid, because I&#39;m not talking about him, I&#39;m talking about all the people who walk their dogs without a leash. If they insist on taking the seat, there&#39;s nothing I can do. After all, It is true that he walks the dog without a leash, and it is normal for him to take it in automatically, but he cannot say that there is something wrong with what I said, and it cannot lead to a vicious quarrel or the like. Anyway, people who walk their dogs in an uncivilized manner are just annoying. And I don’t want any dog to cause trouble or even injury or death to other people because the owner does not hold the leash, and then all kinds of messy things. So I hope that if you own a dog, you must be responsible for the dog, walk the dog with a tight leash, and be responsible for yourself. The dog is responsible, and he is also responsible for other passers-by. What do you think?",121,-0.30019858340668665,2,4,117,9,0,0,0,1,14,0,100.0,"[0.906672368590927, 0.7342372780587693, 0.9282558751290064, 0.8814835582130455, 0.15131356394115492, 0.9369211343721359, 0.525113168663767, 0.46778671492178436, 0.9054609317994117, 0.8971474203414094, 0.8627394971845822, 0.5476643856714039, 0.4503859466282296, 0.8644138664754298, 0.45533680549767375, 0.9899577240764412, 0.1855353069563258, 0.5262327818078083, 0.39041446358519516, 0.5429482496323135, 0.341553943621533, 0.8626312056375609, 0.7622225110839043, 0.15816729940403007, 0.5122783096101873, 0.738098829399323, 0.9607978346428688, 0.1840366852554426, 0.7314653846279809, 0.7658138788729517, 0.50927083004351, 0.2784174005786142, 0.3417229642454034]"
3,"There are only a few stray dogs in the school, and it is not as troublesome as dealing with stray dogs at the national level. And as far as our school is concerned, I have never heard of a dog biting anyone. On the contrary, there have been a few cats biting and scratching people. But the cat didn&#39;t care. Handling it this way only makes people feel that the person responsible for handling this matter is really out of his mind. . . First of all, it will arouse students&#39; resentment. Later student work will be more difficult to carry out because some students will be resistant. Second, it is impersonal. Do you think it will die immediately if you throw it like this? ? ? And still in the cafeteria? ? It&#39;s me. I yawned on the spot. I sat so close that I couldn&#39;t help but realize that the bowl was filled with germs from dogs. . . . Third, since you choose to do this in such a public place, are you still worried about students taking videos? Wouldn&#39;t it be okay to do it secretly from the beginning? ? ? I think it’s okay for schools to catch dogs out of concern for students’ personal safety, but if you dare to do it, if you choose to do it in public, you have to bear the possible controversy that will follow.",120,-0.1325875090346332,3,0,121,1,1,0,0,0,3,0,99.5882,"[0.9962822228842035, 0.9421602363015874, 0.8474749767898585, 0.17389413821404587, 0.5521174308453455, 0.09864935931114693, 0.5694235762924942, 0.9324665136518044, 0.4613523955195139, 0.2852817595134789, 0.28849263868412833, 0.16172177894466921, 0.2757231290797536, 0.9073382373752467, 0.9516720331514699, 0.9185389195218802, 0.32721946539513314, 0.9362090931380946]"
4,The law stipulates that whoever feeds a stray dog will be compensated if the stray dog bites someone.,12,0.0,0,0,12,0,0,0,0,0,0,0,99.6152,[0.9961518856234419]
5,Hahaha,1,0.0,0,0,1,0,0,0,0,0,0,0,86.8421,[0.8684210526315791]
6,Tsk tsk tsk,1,0.0,0,0,1,0,0,0,0,0,0,0,23.0828,[0.23082833962758653]
7,"Let&#39;s just say that someone just said that if these stray dogs bite people, the boss will be responsible because someone broke the defense. In fact, those who break the defense will not feed them after they know this law, but they are encouraging some stupid people to continue feeding them. The hypocritical bs are pretending, and if something goes wrong they can eat steamed buns with human blood.",45,-0.1518322691974212,2,2,42,2,0,0,0,0,2,0,5.2645,"[0.8935557309367514, 0.23449887878533704, 0.2119447305608705, 0.638863860628313, 0.4395853760918822, 0.08916901650244802]"
8,"A good boss makes a fortune. But if these stray dogs bite someone, the boss may be held responsible. It is better to give it to dog lovers for adoption. Yang Di, Li Xiaoran, Xue Zhiqian, etc. will all like to adopt it.",31,1.7086564212093998,2,0,31,3,0,0,0,0,0,0,99.9921,"[0.5650581224317734, 0.5, 0.9055906580075996, 0.32845181338340856, 0.9128421655140685, 0.9970337337605107]"
9,"I think the illegal cost of keeping a dog should be increased. There are many cases where dogs run away after causing trouble, and the owners do not take responsibility at all. At this time, if the victim&#39;s injury is relatively minor, our country&#39;s grassroots police force may not be enough to find the dog owner and then bring the victim to the door to ask for compensation. Even if the dog owner can be found, what can the victim do if the dog owner refuses to pay compensation? &quot;There must be a mistake, my dog does not bite people.&quot; They all say that dog owners should be severely punished. If a dog bites you, you only need to get a rabies vaccine. For this kind of injury, there are not enough laws to even detain the dog owner, and the grassroots law enforcement forces do not have the energy to enforce it for such a small amount of money. Dog owner compensation. Grassroots governance is too complicated. All requirements to deal with people increase the cost of law enforcement. Faced with the difficulty of claiming compensation after an accident, I think the simplest way to prevent it is to treat unleashed dogs as stray dogs and hunt them, which will increase the illegal costs of dog owners. So now I face any content that only calls for punishment of dog owners and does not mention how the dogs should be treated. They are regarded as attempts to increase the cost of grassroots law enforcement and prevent the management of dogs. Hide d",135,-0.07433643933358952,5,1,133,6,1,0,1,0,3,0,99.9654,"[0.30149655455359936, 0.6508480129104253, 0.3966879120337513, 0.15600035544456248, 0.7991569564708575, 0.984983856020915, 0.6960483379354679, 0.0035537584992197946, 0.4605219938541856, 0.5824924784340949, 0.5366779079620322, 0.4460688439024295, 0.9989313280515976, 0.9283230716514417, 0.20042199226791035, 0.6418298197011169, 0.48683678064645375, 0.29532804949633074, 0.8422621003954099, 0.8125669484288006, 0.13019449874269817, 0.9787049266741247, 0.27469118983875573, 0.4737672181921908]"
